name,Kingdom,Phylum,Order,Genus,Class ,name_latin
Alpine swift,Animalia,Chordata,Apodiformes,Tachymarptis,Aves,Tachymarptis melba
American mink,Animalia,Chordata,Carnivora,Mustela,Mammalia (mammals),Neogale vison
Arctic fox,Animalia,Chordata,Carnivora,Vulpes,Mammalia (mammals),Vulpes lagopus
Asian hornet,Animalia,Arthropoda,Hymenoptera,Vespa,Insecta,Vespa velutina
Audouin’s gull,Animalia,Chordata,Charadriiformes,Ichthyaetus,Aves,Ichthyaetus audouinii
Avocet,Animalia,Chordata,Charadriiformes,Recurvirostra,Aves,
Bank vole,Animalia,Chordata,Rodentia,Myodes,Mammalia (mammals),Myodes glareolus
Barbary falcon,Animalia,Chordata,Falconiformes,Falco,Aves,Falco pelegrinoides
Barley,Plantae,Tracheophyta,Poales,Hordeum,Liliopsida,
Barn owl,Animalia,Chordata,Strigiformes,Tyto,Aves,Tyto alba
Bay bolete,Fungi,Basidiomycota,Boletales,Imleria,Agaricomycetes,Imleria badia
Bean,Plantae,Tracheophyta,Fabales,Vicia,Magnoliopsida,
Bearded vulture,Animalia,Chordata,Accipitriformes,Gypaetus,Aves,Gypaetus barbatus
Bee,Animalia,Arthropoda,Hymenoptera,Apis,Insecta,
Beet,Plantae,Tracheophyta,Caryophyllales,Beta,Magnoliopsida,
Black guillemot ,Animalia,Chordata,Charadriiformes,Cepphus,Aves,Cepphus grylle
Black kite,Animalia,Chordata,Accipitriformes,Milvus,Aves,Milvus migrans
Blackberry,Plantae,Tracheophyta,Rosales,Rubus,Magnoliopsida,
Black-crowned night heron,Animalia,Chordata,Pelecaniformes,Nycticorax,Aves,Nycticorax nycticorax
Black-headed gull,Animalia,Chordata,Charadriiformes,Chroicocephalus,Aves,Chroicocephalus ridibundus
Black-legged kittiwake,Animalia,Chordata,Charadriiformes,Rissa,Aves,Rissa tridactyla
Black-tailed godwit,Animalia,Chordata,Charadriiformes,Limosa,Aves,Limosa limosa
Black-winged kite,Animalia,Chordata,Accipitriformes,Elanus,Aves,Elanus caeruleus
Blue tit,Animalia,Chordata,Passeriformes,Cyanistes,Aves,Cyanistes caeruleus
Bonelli's eagle,Animalia,Chordata,Accipitriformes,Aquila,Aves,Aquila fasciata
Booted eagle,Animalia,Chordata,Accipitriformes,Hieraaetus,Aves,Hieraaetus pennatus
Broad-billed sandpiper,Animalia,Chordata,Charadriiformes,Calidris,Aves,Limicola falcinellus
Brown bear,Animalia,Chordata,Carnivora,Ursus,Mammalia (mammals),Ursus arctos
Brown rat,Animalia,Chordata,Rodentia,Rattus,Mammalia (mammals),Rattus norvegicus
Brünnich’s guillemot,Animalia,Chordata,Charadriiformes,Uria,Aves,Uria lomvia
Bumblebee,Animalia,Arthropoda,Hymenoptera,Bombus,Insecta,
Common buzzard,Animalia,Chordata,Accipitriformes,Buteo,Aves,Buteo buteo
Calandra lark,Animalia,Chordata,Passeriformes,Melanocorypha,Aves,Melanocorypha calandra
California kingsnake,Animalia,Chordata,Squamata,Lampropeltis,Reptilia (reptiles),Lampropeltis californiae
Cape hare,Animalia,Chordata,Lagomorpha,Lepus,Mammalia (mammals),Lepus capensis
Carrot,Plantae,Tracheophyta,Apiales,Daucus,Magnoliopsida,
Cattle egret,Animalia,Chordata,Pelecaniformes,Bubulcus,Aves,Bubulcus ibis
Ciril buntings,Animalia,Chordata,Passeriformes,Emberiza,Aves,Emberiza cirlus
Cinereous vulture,Animalia,Chordata,Accipitriformes,Aegypius,Aves,Aegypius monachus
Common crane,Animalia,Chordata,Gruiformes,Grus,Aves,Grus grus
Common eider,Animalia,Chordata,Anseriformes,Somateria,Aves,Somateria mollissima
Common genet,Animalia,Chordata,Carnivora,Genetta,Mammalia (mammals),Genetta genetta
Common kestrel,Animalia,Chordata,Falconiformes,Falco,Aves,Falco tinnunculus
Common magpie,Animalia,Chordata,Passeriformes,Luscinia,Aves,Pica pica
Common nightingales,Animalia,Chordata,Passeriformes,Luscinia,Aves,Luscinia megarhynchos
Common pratincole,Animalia,Chordata,Charadriiformes,Glareola,Aves,Glareola pratincola
Common raven,Animalia,Chordata,Passeriformes,Corvus,Aves,Corvus corax
Common shrew,Animalia,Chordata,Soricomorpha,Sorex,Mammalia (mammals),Sorex araneus
Common swifts,Animalia,Chordata,Apodiformes,Apus,Aves,Apus apus
Common vole,Animalia,Chordata,Rodentia,Microtus,Mammalia (mammals),Microtus arvalis
Common tern,Animalia,Chordata,Charadriiformes,Sterna,Aves,Sterna hirundo
Coot,Animalia,Chordata,Gruiformes,Fulica,Aves,
Crow,Animalia,Chordata,Passeriformes,Corvus,Aves,
Cormorant,Animalia,Chordata,Suliformes,Phalacrocorax,Aves,
Dalmatian pelican,Animalia,Chordata,Pelecaniformes,Pelecanus,Aves,Pelecanus crispus
Domestic cat,Animalia,Chordata,Carnivora,Felis,Mammalia (mammals),Felis catus
Domestic dog,Animalia,Chordata,Carnivora,Canis,Mammalia (mammals),Canis lupus familiaris
Eagle,Animalia,Chordata,Accipitriformes,Aquila,Aves,
Earthworm,Animalia,Annelida,Crassiclitellata,Lumbricus,Clitellata,
Egyptian mongoose,Animalia,Chordata,Carnivora,Herpestes,Mammalia (mammals),Herpestes ichneumon
Egyptian vulture,Animalia,Chordata,Accipitriformes,Neophron,Aves,Neophron percnopterus
Eleonora’s falcon,Animalia,Chordata,Falconiformes,Falco,Aves,
Iberian lynx,Animalia,Chordata,Carnivora,Lynx,Mammalia (mammals),Lynx pardinus
Eurasian otter,Animalia,Chordata,Carnivora,Lutra,Mammalia (mammals),Lutra lutra
Eurasian badger,Animalia,Chordata,Carnivora,Meles,Mammalia (mammals),Meles meles
Eurasian collared-dove,Animalia,Chordata,Columbiformes,Streptopelia,Aves,Streptopelia decaocto
Eurasian goshawk,Animalia,Chordata,Accipitriformes,Accipiter,Aves,Accipiter gentilis
Eurasian eagle-owl,Animalia,Chordata,Strigiformes,Bubo,Aves,Bubo bubo
Eurasian griffon vulture,Animalia,Chordata,Accipitriformes,Gyps,Aves,Gyps fulvus
Eurasian hedgehog,Animalia,Chordata,Erinaceomorpha,Erinaceus,Mammalia (mammals),Erinaceus europaeus
Eurasian lynx,Animalia,Chordata,Carnivora,Lynx,Mammalia (mammals),Lynx lynx
Eurasian sparrowhawk,Animalia,Chordata,Accipitriformes,Accipiter,Aves,Accipiter nisus
Crowned shrew,Animalia,Chordata,Soricomorpha,Sorex,Mammalia (mammals),Sorex coronatus
European badger,Animalia,Chordata,Carnivora,Meles,Mammalia (mammals),Meles meles
European bison,Animalia,Chordata,Artiodactyla,Bison,Mammalia (mammals),Bison bonasus
Eurasian blackbird,Animalia,Chordata,Passeriformes,Turdus,Aves,Turdus merula
European honey buzzard,Animalia,Chordata,Accipitriformes,Pernis,Aves,Pernis apivorus
European kestrel,Animalia,Chordata,Falconiformes,Falco,Aves,Falco tinnunculus
European mink,Animalia,Chordata,Carnivora,Mustela,Mammalia (mammals),Mustela lutreola
European pine marten,Animalia,Chordata,Carnivora,Martes,Mammalia (mammals),Martes martes
European polecat,Animalia,Chordata,Carnivora,Mustela,Mammalia (mammals),Mustela putorius
European rabbit,Animalia,Chordata,Lagomorpha,Oryctolagus,Mammalia (mammals),Oryctolagus cuniculus
European shag,Animalia,Chordata,Suliformes,Phalacrocorax,Aves,Phalacrocorax aristotelis
European starling,Animalia,Chordata,Passeriformes,Sturnus,Aves,Sturnus vulgaris
European storm petrels,Animalia,Chordata,Procellariiformes,Hydrobates,Aves,Hydrobates pelagicus
European water vole,Animalia,Chordata,Rodentia,Arvicola,Mammalia (mammals),Arvicola amphibius
Feral pigeon,Animalia,Chordata,Columbiformes,Columba,Aves,Columba livia domestica
Fieldfare,Animalia,Chordata,Passeriformes,Turdus,Aves,Turdus pilaris
Foliage-dwelling arthropods,Animalia,Arthropoda,,,,
Frog,Animalia,Chordata,Anura,,Amphibia,
Gadwall,Animalia,Chordata,Anseriformes,Mareca,Aves,Mareca strepera
Glaucous gull,Animalia,Chordata,Charadriiformes,Larus,Aves,Larus hyperboreus
Golden eagle,Animalia,Chordata,Accipitriformes,Aquila,Aves,Aquila chrysaetos
Glossy ibis,Animalia,Chordata,Pelecaniformes,Plegadis,Aves,Plegadis falcinellus
Golden plover,Animalia,Chordata,Charadriiformes,Pluvialis,Aves,Pluvialis apricaria
Grass,Plantae,Tracheophyta,Poales,,Liliopsida,
Great black-backed gull,Animalia,Chordata,Charadriiformes,Larus,Aves,Larus marinus
Great bustard,Animalia,Chordata,Otidiformes,Otis,Aves,Otis tarda
Great cormorant,Animalia,Chordata,Suliformes,Phalacrocorax,Aves,Phalacrocorax carbo
Great skua,Animalia,Chordata,Charadriiformes,Stercorarius,Aves,Stercorarius skua
Great spotted cuckoo,Animalia,Chordata,Cuculiformes,Clamator,Aves,Clamator glandarius
Great tit,Animalia,Chordata,Passeriformes,Parus,Aves,Parus major
Great-crested grebe,Animalia,Chordata,Podicipediformes,Podiceps,Aves,Podiceps cristatus
Great white egret,Animalia,Chordata,Pelecaniformes,Ardea,Aves,Ardea alba
Greater flamingo,Animalia,Chordata,Phoenicopteriformes,Phoenicopterus,Aves,Phoenicopterus roseus
Greater white-toothed shrew,Animalia,Chordata,Soricomorpha,Crocidura,Mammalia (mammals),Crocidura russula
Green shank,Animalia,Chordata,Charadriiformes,Tringa,Aves,Tringa nebularia
Grey heron,Animalia,Chordata,Pelecaniformes,Ardea,Aves,Ardea cinerea
Ggrey partridge,Animalia,Chordata,Galliformes,Perdix,Aves,Perdix perdix
Grey wolf,Animalia,Chordata,Carnivora,Canis,Mammalia (mammals),Canis lupus
Greylag goose,Animalia,Chordata,Anseriformes,Anser,Aves,Anser anser
Ground beetle,Animalia,Arthropoda,Coleoptera,,Insecta,
Gyrfalcon,Animalia,Chordata,Falconiformes,Falco,Aves,
Gull-billed tern,Animalia,Chordata,Charadriiformes,Gelochelidon,Aves,Gelochelidon nilotica
Harvest mouse,Animalia,Chordata,Rodentia,Micromys,Mammalia (mammals),Micromys minutus
Hen harrier,Animalia,Chordata,Accipitriformes,Circus,Aves,Circus cyaneus
Herb,Plantae,,,,,
Hermann's tortoise,Animalia,Chordata,,Testudo,Testudines,Testudo hermanni
Herring gull,Animalia,Chordata,Charadriiformes,Larus,Aves,Larus argentatus
Hobby,Animalia,Chordata,Falconiformes,Falco,Aves,
Honeybee/bumblebee,Animalia,Arthropoda,Hymenoptera,,Insecta,
Honey buzzard,Animalia,Chordata,Accipitriformes,Pernis,Aves,Pernis apivorus
Hooded crow,Animalia,Chordata,Passeriformes,Corvus,Aves,Corvus cornix
Hop shoot,Plantae,Tracheophyta,Rosales,Humulus,Magnoliopsida,Humulus lupulus
Horseshoe whip snake,Animalia,Chordata,Squamata,Hemorrhois,Reptilia (reptiles),Hemorrhois hippocrepis
House mouse,Animalia,Chordata,Rodentia,Mus,Mammalia (mammals),Mus musculus
House sparrow,Animalia,Chordata,Passeriformes,Passer,Aves,Passer domesticus
Chamois,Animalia,Chordata,Artiodactyla,Rupicapra,Mammalia (mammals),Rupicapra rupicapra
Chanterelle,Fungi,Basidiomycota,Cantharellales,Cantharellus,Agaricomycetes,Cantharellus cibarius
Iberian hare,Animalia,Chordata,Lagomorpha,Lepus,Mammalia (mammals),Lepus granatensis
Ivory gull,Animalia,Chordata,Charadriiformes,Pagophila,Aves,Pagophila eburnea
Lanner falcon,Animalia,Chordata,Falconiformes,Falco,Aves,Falco biarmicus
Lapwing,Animalia,Chordata,Charadriiformes,Vanellus,Aves,Vanellus vanellus
Moths - large,Animalia,Arthropoda,lepidoptera,NA,Insecta,
Least weasel,Animalia,Chordata,Carnivora,Mustela,Mammalia (mammals),Mustela nivalis
Lesser black-backed gull,Animalia,Chordata,Charadriiformes,Larus,Aves,Larus fuscus
Lesser kestrel,Animalia,Chordata,Falconiformes,Falco,Aves,Falco naumanni
Lettuce,Plantae,Tracheophyta,Asterales,Lactuca,Magnoliopsida,
Lichen,Fungi,Ascomycota,Teloschistales,Xanthoria,Lecanoromycetes,
Little bittern,Animalia,Chordata,Pelecaniformes,Ixobrychus,Aves,Botaurus minutus
Little egret,Animalia,Chordata,Pelecaniformes,Egretta,Aves,Egretta garzetta
Little owl,Animalia,Chordata,Strigiformes,Athene,Aves,Athene noctua
Long-eared owl,Animalia,Chordata,Strigiformes,Asio,Aves,Asio otus
Lynx,Animalia,Chordata,Carnivora,Lynx,Mammalia (mammals),
Maize,Plantae,Tracheophyta,Poales,Zea,Liliopsida,Zea mays
Mallard,Animalia,Chordata,Anseriformes,Anas,Aves,Anas platyrhynchos
Common pochard,Animalia,Chordata,Anseriformes,Aythya,Aves,Aythya ferina
Eurasian coot,Animalia,Chordata,Gruiformes,Fulica,Aves,Fulica atra
Marsh harrier,Animalia,Chordata,Accipitriformes,Circus,Aves,Circus aeruginosus
Mediterranean gull,Animalia,Chordata,Charadriiformes,Ichthyaetus,Aves,Ichthyaetus melanocephalus
Merlin,Animalia,Chordata,Falconiformes,Falco,Aves,
Montagu's harrier,Animalia,Chordata,Accipitriformes,Circus,Aves,
Moss,Plantae,,,,,
Mustard,Plantae,Tracheophyta,Brassicales,Sinapis,Magnoliopsida,Brassica juncea
Mute swan,Animalia,Chordata,Anseriformes,Cygnus,Aves,Cygnus olor
Northern racoon,Animalia,Chordata,Carnivora,Procyon,Mammalia (mammals),
Northern wheatear,Animalia,Chordata,Passeriformes,Oenanthe,Aves,Oenanthe oenanthe
Norway spruce,Plantae,Tracheophyta,Pinales,Picea,Pinopsida,Picea abies
Oilseed rape,Plantae,Tracheophyta,Brassicales,Brassica,Magnoliopsida,Brassica napus
Osprey,Animalia,Chordata,Accipitriformes,Pandion,Aves,Pandion haliaetus
Pea,Plantae,Tracheophyta,Fabales,Lathyrus,Magnoliopsida,Pisum sativum
Peregrine falcon,Animalia,Chordata,Falconiformes,Falco,Aves,Falco peregrinus
Peregrine falcon,Animalia,Chordata,Falconiformes,Falco,Aves,
Pigeon,Animalia,Chordata,Columbiformes,Columba,Aves,
Pine,Plantae,Tracheophyta,,,,
Oak,Plantae,Tracheophyta,,,,
Porcini,Fungi,Basidiomycota,Boletales,Boletus,Agaricomycetes,Boletus edulis
Ptarmigan,Animalia,Chordata,Galliformes,Lagopus,Aves,Lagopus muta
Purple heron,Animalia,Chordata,Pelecaniformes,Ardea,Aves,Ardea purpurea
Pygmy cormorant,Animalia,Chordata,Suliformes,Microcarbo,Aves,Microcarbo pygmeus
Raccoon dog,Animalia,Chordata,Carnivora,Nyctereutes,Mammalia (mammals),Nyctereutes procyonoides
Raspberry,Plantae,Tracheophyta,Rosales,Rubus,Magnoliopsida,Rubus idaeus
Red deer,Animalia,Chordata,Artiodactyla,Cervus,Mammalia (mammals),Cervus elaphus
Red fox,Animalia,Chordata,Carnivora,Vulpes,Mammalia (mammals),Vulpes vulpes
Red kite,Animalia,Chordata,Accipitriformes,Milvus,Aves,Milvus milvus
Red squirrel,Animalia,Chordata,Rodentia,Sciurus,Mammalia (mammals),Sciurus vulgaris
Red-legged partridge,Animalia,Chordata,Galliformes,Alectoris,Aves,Alectoris rufa
Red-necked grebe,Animalia,Chordata,Podicipediformes,Podiceps,Aves,Podiceps grisegena
Reindeer,Animalia,Chordata,Artiodactyla,Rangifer,Mammalia (mammals),Rangifer tarandus
Redwing,Animalia,Chordata,Passeriformes,Turdus,Aves,Turdus iliacus
Rice,Plantae,Tracheophyta,Poales,Oryza,Liliopsida,Oryza sativa
Rock dove,Animalia,Chordata,Columbiformes,Columba,Aves,Columba livia
Roe deer,Animalia,Chordata,Artiodactyla,Capreolus,Mammalia (mammals),Capreolus capreolus
Rye,Plantae,Tracheophyta,Poales,Secale,Liliopsida,Secale cereale
Ruff,Animalia,Chordata,Charadriiformes,Calidris,Aves,Calidris pugnax
Short toed snake-eagle,Animalia,Chordata,Accipitriformes,Circaetus,Aves,Circaetus gallicus
Short-tailed field vole,Animalia,Chordata,Rodentia,Microtus,Mammalia (mammals),Microtus agrestis
Short-toed snake eagle,Animalia,Chordata,Accipitriformes,Circaetus,Aves,Circaetus gallicus
Skylark,Animalia,Chordata,Passeriformes,Alauda,Aves,
Slender-billed gull,Animalia,Chordata,Charadriiformes,Chroicocephalus,Aves,Chroicocephalus genei
Moths - small,Animalia,Arthropoda,Lepidoptera,,Insecta,
Insects - small flying ,Animalia,Arthropoda,,,Insecta,
Rodents - small ,Animalia,Chordata,Rodentia,,Mammalia (mammals),
Snipe,Animalia,Chordata,Charadriiformes,Gallinago,Aves,
Snow bunting,Animalia,Chordata,Passeriformes,Plectrophenax,Aves,Plectrophenax nivalis
soil,,,,,,
Song thrush,Animalia,Chordata,Passeriformes,Turdus,Aves,Turdus philomelos
Spanish imperial eagle,Animalia,Chordata,Accipitriformes,Aquila,Aves,Aquila adalberti
Sparrowhawk,Animalia,Chordata,Accipitriformes,Accipiter,Aves,
Spider,Animalia,Arthropoda,Araneae,,Arachnida,
Spoonbill,Animalia,Chordata,Pelecaniformes,Platalea,Aves,
Spotless starling,Animalia,Chordata,Passeriformes,Sturnus,Aves,Sturnus unicolor
Spotted redshank,Animalia,Chordata,Charadriiformes,Tringa,Aves,Tringa erythropus
Springtail,Animalia,Arthropoda,Poduromorpha,Hypogastrura,Collembola,
Squacco heron,Animalia,Chordata,Pelecaniformes,Ardeola,Aves,Ardeola ralloides
Stoat,Animalia,Chordata,Carnivora,Mustela,Mammalia (mammals),Mustela erminea
Stone marten,Animalia,Chordata,Carnivora,Martes,Mammalia (mammals),Martes foina
Strawberry,Plantae,Tracheophyta,Rosales,Fragaria,Magnoliopsida,
Sugar beet,Plantae,Tracheophyta,Caryophyllales,Beta,Magnoliopsida,Beta vulgaris L.
Swan,Animalia,Chordata,Anseriformes,Cygnus,Aves,
Sweet cherry,Plantae,Tracheophyta,Rosales,Prunus,Magnoliopsida,Prunus avium
Tawny owl,Animalia,Chordata,Strigiformes,Strix,Aves,Strix aluco
Teal,Animalia,Chordata,Anseriformes,Anas,Aves,
Tufted duck,Animalia,Chordata,Anseriformes,Aythya,Aves,Aythya fuligula
Vegetation,Plantae,,,,,
water,,,,,,
Western marsh harrier,Animalia,Chordata,Accipitriformes,Circus,Aves,Circus aeruginosus
Wheat,Plantae,Tracheophyta,Poales,Triticum,Liliopsida,
Whimbrel,Animalia,Chordata,Charadriiformes,Numenius,Aves,
White stork,Animalia,Chordata,Ciconiiformes,Ciconia,Aves,Ciconia ciconia
White tailed sea eagle,Animalia,Chordata,Accipitriformes,Haliaeetus,Aves,Haliaeetus albicilla
Wild boar,Animalia,Chordata,Artiodactyla,Sus,Mammalia (mammals),Sus scrofa
Wild cat,Animalia,Chordata,Carnivora,Felis,Mammalia (mammals),Felis silvestris
Willow grouse,Animalia,Chordata,Galliformes,Lagopus,Aves,Lagopus lagopus
Wood mouse,Animalia,Chordata,Rodentia,Apodemus,Mammalia (mammals),Apodemus sylvaticus
wood mouse/common vole,,,,,,
Wood pigeon,Animalia,Chordata,Columbiformes,Columba,Aves,Columba palumbus
Wood sandpiper,Animalia,Chordata,Charadriiformes,Tringa,Aves,Tringa glareola
Yellow-legged gull,Animalia,Chordata,Charadriiformes,Larus,Aves,Larus michahellis
Yellow-necked mouse,Animalia,Chordata,Rodentia,Apodemus,Mammalia (mammals),Apodemus flavicollis
Species,Kingdom,Phylum,Order,Genus,Class ,Species name (in Latin)
Arctic fox,Animalia,Chordata,Carnivora,Vulpes,Mammalia (mammals),"Alopex lagopus, Vulpes lagopus"
,,,,,,
Arctic wolf,Animalia,Chordata,Carnivora,Canis,Mammalia (mammals),Canis lupus arctos
Bush dog,Animalia,Chordata,Carnivora,Speothos,Mammalia (mammals),Speothos venaticus
African Wild Dog + carnivore,Animalia,Chordata,Carnivora,Lycaon,,
Coyote,Animalia,Chordata,Carnivora,Canis,Mammalia (mammals),Canis latrans
Crab-eating fox,Animalia,Chordata,Carnivora,Cerdocyon,Mammalia (mammals),C. thousCerdocyon thous 
Jjackal + different species of wild carnivores,Animalia,Chordata,Carnivora,Canis,Mammalia (mammals),
Fox/Rabbit,,,,,,
Golden jackal,Animalia,Chordata,Carnivora,Canis,Mammalia (mammals),Canis aureus
Grey fox,Animalia,Chordata,Carnivora,Urocyon,Mammalia (mammals),Urocyon cinereoargenteus
Gray wolf,Animalia,Chordata,Carnivora,Canis,Mammalia (mammals),Canis lupus
Hoary fox,Animalia,Chordata,Carnivora,Lycalopex,Mammalia (mammals),Lycalopex vetulus
Iberian wolf,Animalia,Chordata,Carnivora,Canis,Mammalia (mammals),Canis lupus signatus
San Joaquin kit fox,Animalia,Chordata,Carnivora,Vulpes (typical foxes),Mammalia (mammals),Vulpes macrotis mutica
Maned wolf,Animalia,Chordata,Carnivora,Chrysocyon,Mammalia (mammals),Chrysocyon brachyurus
omnivores including Black backed Jackal,,,,,,
"various species including red fox, Fennec fox, arctic fox, Alaskan Malamute, polar wolf, wolf, raccoon dog",,,,,,
Italian wolf,Animalia,Chordata,Carnivora,Canis,Mammalia (mammals),Canis lupus italicus
American marten,Animalia,Chordata,Carnivora,Martes,Mammalia (mammals),Martes americana
River otter,Animalia,Chordata,Carnivora,Lontra,Mammalia (mammals),Lutra canadensis
Cape clawless otter,Animalia,Chordata,Carnivora,Aonyx,Mammalia (mammals),Aonyx capensis
American mink,Animalia,Chordata,Carnivora,Neovison,Mammalia (mammals),Neovison vision
Chinese ferret-badger,Animalia,Chordata,Carnivora,Melogale,Mammalia (mammals),Melogale moschata
Giant otter,Animalia,Chordata,Carnivora,Pteronura,Mammalia (mammals),Pteronura brasiliensis
Neotropical otter,Animalia,Chordata,Carnivora,Lontra,Mammalia (mammals),Lontra longicaudis
North american river otter,Animalia,Chordata,Carnivora,Lontra,Mammalia (mammals),Lontra canadensis
Asian small-clawed otter,Animalia,Chordata,Carnivora,Aonyx,Mammalia (mammals),Aonyx cinerea
Raccoon,Animalia,Chordata,Carnivora,Procyon,Mammalia (mammals),Procyon lotor
Smooth-coated otter,Animalia,Chordata,Carnivora,Lutrogale,Mammalia (mammals),Lutrogale perspicillata
Beech marten,Animalia,Chordata,Carnivora,Martes,Mammalia (mammals),Martes foina
Striped skunk,Animalia,Chordata,Carnivora,Mephitis,Mammalia (mammals),Mephitis mephitis
Wolverine,Animalia,Chordata,Carnivora,Gulo,Mammalia (mammals),Gulo gulo
North American wolverine,Animalia,Chordata,Carnivora,Gulo,Mammalia (mammals),Gulo luscus
African grass-owl,Animalia,Chordata,Strigiformes,Tyto,Aves,Tyto capensis
American barn owl,,,,,,Tyto furcata
Western barn owl,Animalia,Chordata,Strigiformes,Tyto,Aves,Tyto Alba Guttata
Asian barred owlet ,Animalia,Chordata,Strigiformes,Glaucidium,Aves,Glaucidium cuculoides
Barred owl,Animalia,Chordata,Strigiformes,Strix,Aves,Strix varia
Boreal owl,Animalia,Chordata,Strigiformes,Aegolius,Aves,Aegolius funereus
Brown fish owl,Animalia,Chordata,Strigiformes,Bubo,Aves,Bubo zeylonensis
Brown boobook,Animalia,Chordata,Strigiformes,Ninox,Aves,Ninox scutulata
Burrowing owl,Animalia,Chordata,Strigiformes,Athene,Aves,Athene cunicularia
Collared scops owl,Animalia,Chordata,Strigiformes,Otus ,Aves,Otus lettia
Long-eared owl,Animalia,Chordata,Strigiformes,Otus ,Aves,Otus asio
Eastern screech-owl,Animalia,Chordata,Strigiformes,Megascops,Aves,Megascops asio
Eurasian scops owl,Animalia,Chordata,Strigiformes,Otus ,Aves,Otus scops
Great grey owl,Animalia,Chordata,Strigiformes,Strix,Aves,Strix nebulosa
Great horned owl,Animalia,Chordata,Strigiformes,Bubo,Aves,Bubo virginianus
Northern hawk-owl,Animalia,Chordata,Strigiformes,Surnia,Aves,Surnia ulula
Asian barred owlet,Animalia,Chordata,Strigiformes,Glaucidium,Aves,Glaucidium cuculoides
Indian eagle-owl,Animalia,Chordata,Strigiformes,Bubo,Aves,Bubo bengalensis
Mantanani scops owl,Animalia,Chordata,Strigiformes,Otus ,Aves,Otus mantananensis
mixed: four Barn owls and one Tawny owl,,,,,,
mixed?,,,,,,
Spotted owlet,Animalia,Chordata,Strigiformes,Athene,Aves,Athene brama
potentially 2 species,,,,,,
Oriental scops Ool,Animalia,Chordata,Strigiformes,Otus ,Aves,Otus sunia
Northern saw-whet owl,Animalia,Chordata,Strigiformes,Aegolius,Aves,Aegolius acadicus
Owl,Animalia,Chordata,Strigiformes,,Aves,
Mottled wood-owl,Animalia,Chordata,Strigiformes,Strix,Aves,Strix ocellata
potentially an owl species?,,,,,,
Powerful owl,Animalia,Chordata,Strigiformes,Ninox,Aves,Ninox strenua
"predatory birds among which Long-eared owl (28), Barn owl (2), Tawny owl (2), Little owls (9)",,,,,,
Eurasian pygmy owl,Animalia,Chordata,Strigiformes,Glaucidium,Aves,Glaucidium passerinum
Short-eared owl,Animalia,Chordata,Strigiformes,Asio,Aves,Asio flammeus
Snowy owl,Animalia,Chordata,Strigiformes,Bubo,Aves,Bubo scandiacus
Snowy owl,Animalia,Chordata,Strigiformes,Bubo,Aves,Nyctea scandiaca
Stygian owl,Animalia,Chordata,Strigiformes,Asio,Aves,Asio stygius
Tawny-browed owl,Animalia,Chordata,Strigiformes,Pulsatrix,Aves,Pulsatrix koeniswaldiana
,,,,,,Aegolius funereus
"wild birds, among which 5 owl species",,,,,,
Ural owl,Animalia,Chordata,Strigiformes,Strix,Aves,Strix uralensis
Western screech owl,Animalia,Chordata,Strigiformes,Megascops,Aves,Megascops kennicottii