blood,bones,brain,eggs,embryo,fat,feather,feces,feed,fur,plant,hair,heart,intestines,kidney,liver,lung,milk,muscle,ovarian tissues,semen,skin,soil,spleen,stomach,tongue,urine,water,whole body,NA,Other
blood plasma,bone,Cerebrum,egg shell,,perirenal fat,inner shaft (feather),scat,composition of the natural diet,,leaf,"hair, fur",heart and kidney,T. leonina  from the intestinal tract,kidney and liver,liver (extractable lipids),,,"breast muscle, fat tissue, liver, kidney, lungs and brain",,,raw skin,dried soil,,"stomach for carbofuran, liver for ac",,urine and blood clinical–chemical parameters,,five whole wasps,,
blood serum,rib,,failed eggs,,abdominal fat,inner vane (feather),faecal matter,,,leaves,cover hair,heart and lung,Mesocestoides spp.  from the intestinal tract,kidney and muscle tissue,liver + muscle,,,muscle pooled,,,,hummus,,stomach contents,,,,,,
plasma,teeth,,rotten egg,,subcutanious fat,outer shaft (feather),,,,corbicular pollen,,"heart, kidney, liver and lung",intestine tissue,kidney and spleen,liver and muscle tissue,,,muscle tissue,,,,mineral soil,,,,,,,,
serum,,,whole egg,,fat and liver,outer vane (feather),,,,crop,,"heart, kidney, liver and muscle tissue",intestinal wall,"kidney, liver and lung",liver pooled,,,muscles,,,,whole soil,,,,,,,,
whole blood,,,yolk,,adipose tissue,preen gland,,,,crop content,,"heart, kidney, liver, and muscle tissue",intestinal parasites,"kidney, liver and muscle tissue","liver, kidneys, crop, gizzard",,,pectoral muscle,,,,,,,,,,,,
Proximal SI lumen,,,,,,preen oil,,,,crop/gizzard,,"heart, kidney, liver, muscle tis- sue and spleen",Colon Contents,"kidney, liver and spleen",liver+gizzard,,,meat,,,,,,,,,,,,
,,,,,,uropygial gland,,,,flower,,"heart, liver and lung",Cestoda,"kidney, liver muscle tissue",,,,body tissue,,,,,,,,,,,,
,,,,,,,,,,flower nectar,,"heart, liver and muscle tissue",chyme,kidney cortex,,,,striated muscle,,,,,,,,,,,,
,,,,,,,,,,flower pollen,,"heart, liver, and lung",,renal cortex,,,,Masseter muscle,,,,,,,,,,,,
,,,,,,,,,,fruits,,,,renal medulla,,,,prey tissue,,,,,,,,,,,,
,,,,,,,,,,gizzard,,"heart, liver, lung and muscle tissue",,,,,,,,,,,,,,,,,,
,,,,,,,,,,nectar,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,needle,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,bee pollen,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,pollen,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,root,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,seed,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,shoot,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,spraint,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,spraints,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stalk,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stems & leaves,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,whole plant,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,whole plant + soil,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,grain,,,,,,,,,,,,,,,,,,,,