CAS,chemical_name,susdat_name,susdat_id,DTX,,
2164-17-2,fluometuron,,NS00010278,,,
658066-35-4,fluopyram,,NS00001768,,,
239110-15-7,fluopicolide,,NS00004383,,,
361377-29-9,fluoxastrobin,,NS00008659,,,
144740-53-4,flupyrsulfuron-methyl,,NS00009509,,,
951659-40-8,flupyradifurone,Flupyradifurone,NS00502213,,,
136426-54-5,fluquinconazole,,NS00004084,,,
61213-25-0,flurochloridone,,NS00010153,,,
81406-37-3,fluroxypyr-methylheptyl ester,Fluroxypyr-meptyl,NS00006504,,,
69377-81-7,fluroxypyr,,NS00001734,,,
96525-23-4,flurtamone,,NS00009620,,,
85509-19-9,flusilazole,,NS00098479,,,
117337-19-6,fluthiacet-methyl,,NS00003833,,,
66332-96-5,flutolanil,,NS00009245,,,
76674-21-0,flutriafol,,NS00000704,,,
69409-94-5,fluvalinate,,NS00009151,,,
102851-06-9,fluvalinate(tau),Tau-Fluvalinate,NS00098485,,,
133-07-3,folpet,,NS00005935,,,
907204-31-3,fluxapyroxad,,NS00006403,,,
72178-02-0,fomesafen,,NS00005859,,,
944-22-9,fonofos,,NS00008243,,,
173159-57-4,foramsulfuron,,NS00000389,,,
23422-53-9,formetanate(hydrochlorure),Formetanate hydrochloride,NS00083924,,,
2540-82-1,formothion,,NS00004887,,,
98886-44-3,fosthiazate,,NS00000489,,,
3878-19-1,fuberidazole,,NS00000144,,,
57646-30-7,furalaxyl,,NS00000526,,,
65907-30-4,furathiocarb,,NS00000148,,,
60568-05-0,furmecyclox,,NS00009436,,,
5566-34-7,gamma-chlordane,"2,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",NS00044294,,,
22350-76-1,gardona (trans-isomer),Gardona (trans-isomer),NS00009352,,,
1071-83-6,glyphosate,Glyphosate,NS00006349,,,
51276-47-2,glufosinate,Glufosinate,NS00005957,,,
69806-34-4,haloxyfop(free acid),Haloxyfop,NS00066824,,,
100784-20-1,halosulfuron-methyl,Halosulfuron-methyl,NS00009730,,,
69806-40-2,haloxyfop-methyl(r+s),"	Haloxyfop-methyl",NS00001997,,,
87237-48-7,haloxyfop-2-ethoxyethyl,Haloxyfop-etotyl,NS00000150,,,
608-73-1,sum hch,"1,2,3,4,5,6-Hexachlorocyclohexane (HCH total)",NS00108471,,,
319-84-6,alpha-hch,"Alpha-1,2,3,4,5,6-Hexachlorocyclohexane (a-HCH)",NS00066921,,,
319-85-7,beta-hch,"	Beta-Hexachlorocyclohexane (b-HCH)",NS00066928,,,
58-89-9,,Lindane (g-HCH),NS00002327,,,
319-86-8,,"Delta-1,2,3,4,5,6-Hexachlorocyclohexane (d-HCH)",NS00066938,,,
6108-10-7,,Epsilon-Hexachlorocyclohexane (e-HCH),NS00073947,,,
76-44-8,heptachlor,Heptachlor,NS00008168,,,
,heptachlor epoxide,Sum-Heptachlor epoxides,NS00502086,,,
28044-83-9,heptachlor-exo-epoxide,Heptachlor epoxide A,NS00099458,,,
1024-57-3,heptachlor-endo-epoxide,Heptachlor epoxide B,NS00008890,,,
23560-59-0,heptenophos,,NS00000527,,,
79983-71-4,hexaconazole,,NS00098678,,,
118-74-1,hexachlorobenzene,,NS00010702,,,
86479-06-3,hexaflumuron,,NS00002470,,,
51235-04-2,hexazinone,,NS00000457,,,
78587-05-0,hexythiazox,,NS00000151,,,
2439-01-2,chinomethionat,Chinomethionate,NS00001548,,,
2599-11-3,hydroxysimazine,,NS00000309,,,
500008-45-7,chlorantraniliprole,,NS00002799,,,
103-17-3,chlorbenside,,NS00021456,,,
5103-71-9,chlordane cis,Cis-Chlordane,NS00066932,,,
5103-74-2,chlordane trans,Trans-Chlordane,NS00073906,,,
1967-16-4,chlorbufam,,NS00007292,,,
122453-73-0,chlorfenapyr,,NS00008155,,,
80-33-1,chlorfenson,,NS00005538,,,
470-90-6,chlorfenvinphos,,NS00000485,,,
1698-60-8,chloridazon,,NS00008895,,,
2675-77-6,chloroneb,,NS00001859,,,
510-15-6,chlorobenzilate,,NS00006325,,,
3691-35-8,chlorophacinone,,NS00005218,,,
1897-45-6,chlorothalonil,,NS00005725,,,
15545-48-9,chlorotoluron,,NS00000251,,,
1982-47-4,chloroxuron,,NS00010440,,,
1891-95-8,chloroxynil,,NS00000486,,,
101-21-3,chlorpropham,,NS00010021,,,
5598-13-0,chlorpyrifos-methyl,,NS00000446,,,
2921-88-2,chlorpyrifos-ethyl,"	Chlorpyrifos (Chlorpyrifos-ethyl)",NS00000445,,,
64902-72-3,chlorsulfuron,,NS00000107,,,
1861-32-1,chlorthal-dimethyl,,NS00000701,,,
500-28-7,chlorthion,,NS00001236,,,
60238-56-4,chlorthiophos,,NS00004688,,,
15545-48-9,chlortoluron,Chlorotoluron,NS00000251,,,
84332-86-5,chlozolinate,,NS00004292,,,
143807-66-3,chromafenozide,,NS00005492,,,
35554-44-0,imazalil,,NS00009564,,,
81335-37-7,imazaquin,,NS00009683,,,
114311-32-9,imazamox,,NS00000438,,,
138261-41-3,imidacloprid,,NS00000361,,,
122548-33-8,imazosulfuron,,NS00007342,,,
115970-17-7,imidacloprid guanidine,Desnitro-imidacloprid,NS00000493,,,
115086-54-9,imidacloprid olefin,,NS00014262,,,
6714-29-0,impy,"2,3-Dihydro-1H-imidazo[1,2-b]pyrazole",NS00046475,,,
173584-44-6,indoxacarb,,NS00098526,,,
18181-70-9,iodofenphos,Iodenphos,NS00009634,,,
144550-06-1,iodosulfuron-methyl,Iodosulfuron methyl ester,NS00000651,,,
125225-28-7,ipconazole,,NS00002872,,,
1689-83-4,ioxynil,,NS00009868,,,
36734-19-7,iprodione,,NS00000494,,,
26087-47-8,iprobenfos,,NS00003998,,,
140923-17-7,iprovalicarb,,NS00000435,,,
42509-80-8,isazofos,,NS00008269,,,
297-78-9,isobenzan,,NS00022007,,,
24353-61-5,isocarbophos,,NS00006574,,,
465-73-6,isodrin,,NS00006421,,,
25311-71-1,isofenphos,,NS00000159,,,
99675-03-3,isofenphos-methyl,"	Isofenfos-methyl",NS00003770,,,
33820-53-0,isopropaline,Isopropalin,NS00003426,,,
2631-40-5,isoprocarb,,NS00010531,,,
34123-59-6,isoproturon,,NS00000260,,,
50512-35-1,isoprothiolane,,NS00001248,,,
881685-58-1,isopyrazam,,NS00040576,,,
56046-17-4,isoproturon-desmethyl,,NS00000259,,,
82558-50-7,isoxaben,,NS00000671,,,
141112-29-0,isoxaflutole,,NS00000652,,,
18854-01-8,isoxathion,,NS00002507,,,
18181-70-9,jodfenphos,"	Iodenphos",NS00009634,,,
143390-89-0,kresoxim-methyl,,NS00008540,,,
91465-08-6,lambda-cyhalothrin,,NS00108210,,,
2164-08-1,lenacil,,NS00000444,,,
330-55-2,linuron,,NS00010461,,,
103055-07-8,lufenuron,,NS00001576,,,
1634-78-2,malaoxon,,NS00000705,,,
121-75-5,malathion,,NS00001740,,,
374726-62-2,mandipropamid,,NS00000495,,,
1634-78-2,malaoxon,,NS00000705,,,
94-74-6,mcpa,,NS00000243,,,
94-81-5,mcpb,,NS00008169,,,
93-65-2,mecoprop,(+/-)-2-(4-Chloro-2-methylphenoxy)propionic acid (MCPP),NS00000277,,,
2595-54-2,mecarbam,,NS00002565,,,
16484-77-8,mecoprop-p,(R)-2-(4-Chloro-2-methylphenoxy)propionate (Mecoprop-P),NS00085172,,,
73250-68-7,mefenacet,,NS00000165,,,
108-78-1,melamine,,NS00010262,,,
110235-47-7,mepanipyrim,,NS00000496,,,
55814-41-0,mepronil,,NS00003853,,,
208465-21-8,mesosulfuron-methyl,,NS00009416,,,
104206-82-8,mesotrione,,NS00000240,,,
57837-19-1,metalaxyl,,NS00098478,,,
139968-49-3,metaflumizone,,NS00001023,,,
70630-17-0,metalaxyl-m,,NS00003738,,,
108-62-3,metaldehyde,,NS00006999,,,
41394-05-2,metamitron,,NS00010410,,,
172960-62-2,metazachlor esa,,NS00008387,,,
67129-08-2,metazachlor,,NS00000249,,,
1231244-60-2,metazachlor oxa,,NS00000322,,,
125116-23-6,metconazole,,NS00000558,,,
18691-97-9,methabenzthiazuron,,NS00010463,,,
10265-92-6,methamidophos,,NS00010000,,,
62610-77-9,methacrifos,,NS00000166,,,
2032-65-7,methiocarb,,NS00000436,,,
950-37-8,methidathion,,NS00007694,,,
16752-77-5,methomyl,,NS00008271,,,
40596-69-8,methoprene,,NS00003506,,,
72-43-5,methoxychlor,,NS00003861,,,
161050-58-4,methoxyfenozide,,NS00000434,,,
17254-80-7,methyldesphenylchloridazon,,NS00000316,,,
298-00-0,methyl parathion,,NS00003145,,,
99-76-3,methylparaben,,NS00001849,,,
3060-89-7,metobromuron,,NS00010464,,,
51218-45-2,metolachlor,,NS00000248,,,
171118-09-5,metolachlor esa,,NS00000295,,,
152019-73-3,metolachlor OA,,NS00000245,,,
87392-12-9,metolachlor-s,"	S-Metolachlor",NS00067081,,,
1129-41-5,metolcarb,,NS00005439,,,
139528-85-1,metosulam,,NS00008689,,,
133408-50-1,metominostrobin,,NS00010318,,,
19937-59-8,metoxuron,,NS00010418,,,
220899-03-6,metrafenone,,NS00000497,,,
21087-64-9,metribuzin,,NS00001636,,,
74223-64-6,metsulfuron-methyl,,NS00010090,,,
7786-34-7,mevinphos,,NS00001649,,,
51596-11-3,milbemectin a4,,NS00006481,,,
2385-85-5,mirex,,NS00002680,,,
2212-67-1,molinate,,NS00000706,,,
7287-36-7,monalide,,NS00004772,,,
6923-22-4,monocrotophos,,NS00000065,,,
1746-81-2,monolinuron,,NS00010426,,,
150-68-5,monuron,,NS00007862,,,
88671-89-0,myclobutanil,,NS00000451,,,
60397-77-5,"n-(2,4-dimethylphenyl)formamide","N-(2,4-Dimethylphenyl)formamide",NS00000458,,,
66840-71-9,"n,n-dimethyl-n'-p-tolylsulphamide","	N,N-Dimethyl-N'-p-tolylsulphamide",NS00000288,,,
91-20-3,naphthalene,,NS00008377,,,
15299-99-7,napropamide,,NS00000068,,,
555-37-3,neburon,,NS00005770,,,
111991-09-4,nicosulfuron,,NS00008411,,,
54-11-5,nicotine,,NS00010445,,,
120738-89-8,nitenpyram,,NS00099461,,,
4726-14-1,nitralin,,NS00004930,,,
1836-75-5,nitrofen,,NS00000514,,,
10552-74-6,nitrothal-isopropyl,,NS00004811,,,
"	10552-74-6",nitrothal-isopropyle,Nitrothal-isopropyl,NS00004811,,,
27314-13-2,norflurazon,,NS00004600,,,
116714-46-6,novaluron,,NS00003651,,,
63284-71-9,nuarimol,,NS00002335,,,
26530-20-1,octhilinone,,NS00000270,,,
34622-58-7,orbencarb,,NS00003949,,,
1113-02-6,omethoate,,NS00000063,,,
19044-88-3,oryzalin,,NS00000515,,,
213464-77-8,orthosulfamuron,,NS00026846,,,
19666-30-9,oxadiazon,,NS00008448,,,
39807-15-3,oxadiargyl,,NS00006432,,,
23135-22-0,oxamyl,,NS00001635,,,
77732-09-3,oxadixyl,,NS00000516,,,
144651-06-9,oxasulfuron,,NS00010347,,,
5259-88-1,oxycarboxin,,NS00003349,,,
301-12-2,oxydemeton-methyl,,NS00010013,,,
42874-03-3,oxyfluorfen,,NS00000559,,,
27304-13-8,oxychlordane,,NS00002213,,,
101-76-8,"p,p'-ddm",Bis(4-chlorophenyl)methane,NS00023084,,,
1022-22-6,"p,p'-ddmu","1,1-Bis(p-chlorophenyl)-2-chloroethene",NS00007583,,,
311-45-5,paraoxon-ethyl,Paraoxon,NS00003670,,,
950-35-6,paraoxon-methyl,Methylparaoxon,NS00009421,,,
4685-14-7,paraquat,,NS00010483,,,
56-38-2,parathion,,NS00000528,,,
56-38-2,parathion-ethyl,Parathion,NS00000528,,,
298-00-0,parathion-methyl,Methyl parathion,NS00003145,,,
66246-88-6,penconazole,,NS00000523,,,
66063-05-6,pencycuron,,NS00008459,,,
40487-42-1,pendimethalin,,NS00000529,,,
219714-96-2,penoxsulam,,NS00006425,,,
527-20-8,pentachloroaniline,,NS00002067,,,
1825-21-4,pentachloroanisole,,NS00004402,,,
183675-82-3,penthiopyrad,,NS00015073,,,
87-86-5,pentachlorphenol,"Pentachlorophenol	",NS00009449,,,
52645-53-1,permethrin,,NS00000502,,,
106700-29-2,pethoxamid,,NS00000317,,,
13684-63-4,phenmedipham,,NS00001690,,,
26002-80-2,phenothrin,,NS00099457,,,
26046-85-5,phenothrin [(1r)-trans- isomer],,NS00001911,,,
298-02-2,phorate,,NS00007855,,,
254642,phenthoate,,NS00004968,,,
2588-04-7,phorate(+sulfone),"	Phorate sulfone",NS00010171,,,
2310-17-0,phosalone,,NS00001562,,,
732-11-6,phosmet,,NS00000517,,,
3735-33-9,phosmet(+oxon),Phosmetoxon,NS00067639,,,
13171-21-6,phosphamidon,,NS00124956,,,
14816-18-3,phoxim,,NS00000180,,,
6607,picloram,,NS00006515,,,
137641-05-5,picolinafen,,NS00009710,,,
243973-20-8,pinoxaden,,NS00000321,,,
243973-20-8,pinoxaden,,NS00000321,,,
23103-98-2,pirimicarb,,NS00000362,,,
30614-22-3,pirimicarb-desmethyl,"5,6-Dimethyl-2-(methylamino)pyrimidin-4-yl dimethylcarbamate",NS00004616,,,
23505-41-1,pirimiphos-ethyl,,NS00002602,,,
29232-93-7,pirimiphos-methyl,,NS00010883,,,
21757-82-4,plifenate,"3,4-Dichloro-a-(trichloromethyl)benzyl acetate",NS00050703,,,
51218-49-6,pretilachlore,Pretilachlor,NS00000530,,,
32809-16-8,procymidone,,NS00000518,,,
41198-08-7,profenofos,,NS00008209,,,
26399-36-0,profluralin,,NS00021960,,,
67747-09-5,prochloraz,,NS00010885,,,
7287-19-6,prometrine,Prometryn,NS00010269,,,
2631-37-0,promecarb,,NS00003842,,,
7287-19-6,prometryn,,NS00010269,,,
1918-16-7,propachlor,,NS00000323,,,
123732-85-4,propachlor esa,,NS00000307,,,
24579-73-5,propamocarb,,NS00000441,,,
111479-05-1,propaquizafop,,NS00005528,,,
139-40-2,propazine,,NS00000378,,,
139-40-2,propazine,,NS00000378,,,
122-42-9,propham,,NS00004441,,,
31218-83-4,propetamphos,,NS00004990,,,
60207-90-1,propiconazole,,NS00000220,,,
114-26-1,propoxur,,NS00010600,,,
23950-58-5,propyzamid,Propyzamide,NS00000560,,,
145026-81-9,propoxycarbazone,,NS00008432,,,
52888-80-9,prosulfocarb,,NS00010887,,,
189278-12-4,proquinazid,,NS00000653,,,
94125-34-5,prosulfuron,,NS00005223,,,
178928-70-6,prothioconazole,,NS00002744,,,
120983-64-4,prothioconazole-desthio,"2-(1-Chlorocyclopropyl)-1-(2-chlorophenyl)-3-(1H-1,2,4-triazol-1-yl)-2-propanol",NS00010886,,,
34643-46-4,prothiophos,Prothiofos,NS00009330,,,
2275-18-5,prothoate,,NS00021877,,,
123312-89-0,pymetrozine,,NS00000443,,,
175013-18-0,pyraclostrobin,,NS00000390,,,
129630-19-9,pyraflufen-ethyl,,NS00001488,,,
13457-18-6,pyrazophos,,NS00010879,,,
121-21-1,pyrethrin i,,NS00009290,,,
121-29-9,pyrethrin ii,,NS00002961,,,
96489-71-3,pyridaben,,NS00010535,,,
119-12-0,pyridafenthion,Pyridaphenthion,NS00004346,,,
179101-81-6,pyridalyl,,NS00007630,,,
119-12-0,pyridaphenthion,,NS00004346,,,
55512-33-9,pyridate,,NS00000573,,,
53112-28-0,pyrimethanil,,NS00000363,,,
88283-41-4,pyrifenox,,NS00009603,,,
95737-68-1,pyriproxyfen,,NS00009439,,,
29232-93-7,pyrimiphos methyl,Pirimiphos-methyl,NS00010883,,,
422556-08-9,pyroxsulam,,NS00008309,,,
13593-03-8,quinalphos,,NS00005072,,,
90717-03-6,quinmerac,,NS00000708,,,
2439-01-2,quinomethionate,Chinomethionate,NS00001548,,,
82-68-8,quintozene,Pentachloronitrobenzene,NS00001402,,,
124495-18-7,quinoxyfen,,NS00010580,,,
76578-12-6,quizalofop,,NS00098682,,,
76578-12-6,quizalofop(free acid),Quizalofop,NS00098682,,,
76578-14-8,quizalofop-ethyl,,NS00000184,,,
10453-86-8,resmethrin,,NS00009121,,,
113614-08-7,rac-n-benzyl-2-[4-fluoro-3-(trifluoromethyl)phenoxy]butanamide,Beflubutamid,NS00007100,,,
127-90-2,s421,"Bis(2,3,3,3-tetrachloropropyl) ether",NS00041550,,,
7286-69-3,sebuthylazine,,NS00000311,,,
26259-45-0,secbumeton,,NS00000310,,,
175217-20-6,silthiofam,,NS00066833,,,
122-34-9,simazine,,NS00000244,,,
935545-74-7,spinetoram(+isomers),,NS00502221,,,
168316-95-8,spinosad,,NS00003609,,,
131929-60-7,spinosyn a,,NS00004555,,,
131929-61-8,spinosyn b,,NS00007023,,,
131929-63-0,spinosyn d,,NS00003367,,,
148477-71-8,spirodiclofen,,NS00006322,,,
283594-90-1,spiromesifen,,NS00004014,,,
203313-25-1,spirotetramat,,NS00008224,,,
118134-30-8,spiroxamine,,NS00009694,,,
57-24-9,strychnine,,NS00009135,,,
99105-77-8,sulcotrione,,NS00000264,,,
57-68-1,sulfamethazine,,NS00000199,,,
141776-32-1,sulfosulfuron,,NS00001795,,,
63-74-1,sulfanilamide,,NS00000007,,,
3689-24-5,sulfotep,,NS00009366,,,
946578-00-3,sulfoxaflor,Sulfoxaflor,NS00502214,,,
35400-43-2,sulprofos,"	Sulprofos",NS00002119,,,
"	102851-06-9",tau-fluvalinate,Tau-Fluvalinate,"	
NS00098485",,,
1954-28-5,tde,Etoglucid,NS00046606,,,
107534-96-3,tebuconazole,,NS00000280,,,
112410-23-8,tebufenozide,,NS00007887,,,
119168-77-3,tebufenpyrad,,NS00000189,,,
96182-53-5,tebupirimfos,,NS00004779,,,
117-18-0,tecnazene,"2,3,5,6-Tetrachloronitrobenzene",NS00003436,,,
35256-85-0,tebutam,Butam,NS00000238,,,
83121-18-0,teflubenzuron,,NS00009379,,,
79538-32-2,tefluthrin,,NS00005646,,,
149979-41-9,tepraloxydim,,NS00000562,,,
5902-51-2,terbacil,,NS00009250,,,
13071-79-9,terbufos,,NS00009904,,,
33693-04-8,terbumeton,,NS00000293,,,
5915-41-3,terbuthylazine,Terbutylazine,NS00000258,,,
30125-63-4,terbuthylazine-desethyl,Desethylterbutylazine,NS00007860,,,
66753-07-9,terbuthylazine-2-hydroxy,"1,3,5-Triazin-2(1H)-one, 4-((1,1-dimethylethyl)amino)-6-(ethylamino)-",NS00000294,,,
886-50-0,terbutryn,,NS00000276,,,
5915-41-3,terbutylazine,,NS00000258,,,
112281-77-3,tetraconazole,,NS00000709,,,
116-29-0,tetradifon,,NS00002806,,,
22248-79-9,tetrachlorvinphos,"	Z-Tetrachlorvinphos",NS00073940,,,
7696-12-0,tetramethrin,,NS00099485,,,
1166-46-7,tetramethrin [(1r)-trans isomer],Tetramethrin [(1R)-trans isomer],NS00007969,,,
2227-13-6,tetrasul,,NS00004438,,,
148-79-8,thiabendazole,,NS00007958,,,
111988-49-9,thiacloprid,,NS00000448,,,
676228-91-4,thiacloprid amide,,NS00000449,,,
153719-23-4,thiamethoxam,,NS00010175,,,
317815-83-1,thiencarbazone-methyl,,NS00005087,,,
79277-27-3,thifensulfuron methyl,,NS00001276,,,
28249-77-6,thiobencarb,,NS00004130,,,
31895-21-3,thiocyclam,,NS00000070,,,
59669-26-0,thiodicarb,,NS00008451,,,
23564-05-8,thiophanate-methyl,,NS00004932,,,
137-26-8,thiram,Bis(dimethylaminothiocarbonyl) disulfide,NS00009398,,,
57018-04-9,tolclofos-methyl,,NS00000190,,,
731-27-1,tolylfluanid,,NS00000191,,,
142534-71-2,"toxaphene, parlar no. 26","2-endo,3-exo,5-endo,6-exo-8,8,10,10-Octachlorobornane (Parlar 26)",NS00073941,,,
87820-88-0,tralkoxydim,,NS00098683,,,
66841-25-6,tralomethrine,Tralomethrin,NS00002498,,,
118712-89-3,transfluthrin,,NS00005640,,,
43121-43-3,triadimefon,,NS00009440,,,
55219-65-3,triadimenol,,NS00003904,,,
2303-17-5,triallate,"	Tri-allate",NS00000710,,,
1031-47-6,triamiphos,,NS00073942,,,
82097-50-5,triasulfuron,,NS00007724,,,
112143-82-5,triazamate,,NS00004744,,,
24017-47-8,triazophos,,NS00002288,,,
72459-58-6,triazoxide,,NS00006659,,,
101200-48-0,tribenuron-methyl,,NS00005606,,,
55335-06-3,triclopyr,,NS00000442,,,
41814-78-2,tricyclazole,"2,7,8,9-Tricyclazole",NS00006721,,,
141517-21-7,trifloxystrobin,,NS00010878,,,
252913-85-2,trifloxystrobin acid,,NS00005228,,,
145099-21-4,trifloxysulfuron,,NS00015297,,,
68694-11-1,triflumizole,,NS00006114,,,
64628-44-0,triflumuron,,NS00008938,,,
1582-09-8,trifluralin,,NS00008982,,,
126535-15-7,triflusulfuron-methyl,,NS00000563,,,
26644-46-2,triforine,,NS00009786,,,
52-68-6,trichlorfon,,NS00010188,,,
327-98-0,trichloronat,,NS00009238,,,
131983-72-7,triticonazole,,NS00010104,,,
13674-84-5,tris(1-chloro-2-propyl) phosphate,Tris(2-chloroisopropyl)phosphate (TCPP),NS00009572,,,
142469-14-5,tritosulfuron,,NS00000377,,,
283159-90-0,valifenalate,,NS00003769,,,
50471-44-8,vinclozolin,,NS00000531,,,
2275-23-2,vamidothion,,NS00049873,,,
81-81-2,warfarin,,NS00010884,,,
0,z-benzoximate,,NS00000095,,,
51810-70-9,zinc phosphide,,NS00088619,,,
156052-68-5,zoxamide,,NS00007053,,,